StichtagDatJahr;KreisSort;KreisCd;KreisLang;SteuerTarifSort;SteuerTarifCd;SteuerTarifLang;SteuerVermoegen_p50;SteuerVermoegen_p25;SteuerVermoegen_p75
2022;1;1;Kreis 1;1;1;Verheiratetentarif;521;108;1719
2022;2;2;Kreis 2;1;1;Verheiratetentarif;265;57;812
2022;3;3;Kreis 3;1;1;Verheiratetentarif;162;18;528.5
2022;4;4;Kreis 4;1;1;Verheiratetentarif;90;1;350
2022;5;5;Kreis 5;1;1;Verheiratetentarif;231;37;704
2022;6;6;Kreis 6;1;1;Verheiratetentarif;351;89;998
2022;7;7;Kreis 7;1;1;Verheiratetentarif;616;160;1864
2022;8;8;Kreis 8;1;1;Verheiratetentarif;440;116;1330
2022;9;9;Kreis 9;1;1;Verheiratetentarif;128;13;425
2022;10;10;Kreis 10;1;1;Verheiratetentarif;290;69;815
2022;11;11;Kreis 11;1;1;Verheiratetentarif;123;7;430
2022;12;12;Kreis 12;1;1;Verheiratetentarif;53;1;235
